uimavesini,leva,nako,lampo
Mariebad,59496,3842,1685
Taasjärvi,842,3157,1674
Tulliniemi etelä,43524,3475,1685
"Saari, Hunttijärvi",49434,3157,1674
"Mäntsälän kunnan ranta, Keravanjärvi",842,3157,1674
"Sahajärvi, virkistysalue",49434,3157,1674
Sääksjärvi,49434,3157,1674
Hietasenr ranta,49434,3157,1674
Mansikkalahti ulkoranta,12808,3062,1673
"Saaren kansanpuiston uimaranta, Suujärvi",2381,3455,1694
Hiekkahelmi,6949,3842,1685
Sorttamäki,6949,3842,1685
Jyskä,25004,3063,1673
Luonetjärvi,25031,3157,1674
Vesanka,25000,3157,1674
Harrström,5440,3842,1685
Kaihu,64179,3062,1667
"Ormajärvi, Sankolan ranta",1898,3157,1674
Pyhäjärven uimaranta,1469,3455,1694
Pappila,24658,3157,1674
Kaukajärven Riihiniemi,1812,3455,1694
Fäboda Cafestrand,42159,3475,1696
Satama,23808,3062,1660
Niittylahti,22270,3062,1660
Slaktis,43524,3475,1685
Lappohja,2998,3478,1685
Kurikanvainio,1812,3455,1694
Eliander,1812,3455,1694
Lahdesjärvi,1812,3455,1694
Kalliojärvi,4619,3842,1696
Lapinmäen virkistyalue,30122,3157,1696
Luopioisten kirkonkylä,9575,3313,1674
Olkahinen,9518,3455,1694
Suolijärvi,1812,3455,1694
Suomensaari,1812,3455,1694
Aurajärvi,6521,3842,1685
Aurinkoranta,68397,3063,1673
Louhioja,23014,3062,1660
Aavaranta,23808,3062,1660
Tanelinlampi,4534,3480,1696
Mekkoranta,54531,3313,1687
Jäälin ranta,28685,3157,1705
Kelanranta,28922,3062,1717
Rajamaan ranta,28602,3063,1700
Udden camping,59496,3842,1685
Marskil,59496,3842,1685
Notplan,59496,3842,1685
Möskatan,59496,3842,1685
Strömsö,54580,3842,1696
"Vennan uimaranta, Haukkajärvi",12808,3062,1673
Pitkäjärven hiekkaranta,6417,3842,1685
Störsvik,2733,3455,1694
Vetokannas,842,3313,1674
Ankkurin rantapuisto,83066,3157,1674
Jäälin monttu,28685,3157,1705
Konnanmonttu Tiililampi,4619,3475,1696
Äänejärvi,25213,3157,1673
Saarijärvi,4509,3480,1694
